date, pm25, pm10, no2
2023/5/29, 16, 14, 
2023/5/30, 18, 23, 
2023/5/31, 26, 25, 
2023/6/1, 19, 15, 
2023/6/2, 13, 12, 
2023/6/3, 11, 14, 
2023/6/4, 18, 6, 
2023/6/5, 7, 11, 
2023/6/6, 13, 8, 
2023/6/7, 10, 16, 
2023/6/8, 16, 9, 
2023/6/9, 12, 18, 
2023/6/10, 16, 15, 
2023/6/11, 16, 15, 
2023/6/12, 18, 30, 
2023/6/13, 38, 24, 
2023/6/14, 39, 27, 
2023/6/15, 44, 28, 
2023/6/16, 51, 29, 
2023/6/17, 50, 19, 
2023/6/18, 34, 23, 
2023/6/19, 49, 31, 
2023/6/20, 59, 79, 
2023/6/21, 71, 32, 
2023/6/22, 68, 19, 
2023/6/23, 45, 7, 
2023/6/24, 14, 6, 
2023/6/25, 12, 8, 
2023/6/26, 15, 16, 
2023/6/27, 29, 18, 
2023/6/28, 35, 21, 
2023/6/29, 46, 22, 
2023/6/30, 54, 24, 
2023/7/1, 49, 12, 
2023/1/3, 14, 2, 
2023/1/4, 7, 5, 
2023/1/5, 12, 5, 
2023/1/6, 15, 3, 
2023/1/7, 10, 4, 
2023/1/8, 12, 1, 
2023/1/9, 6, 3, 
2023/1/10, 11, 4, 
2023/1/11, 14, 3, 
2023/1/12, 11, 4, 
2023/1/13, 12, 5, 
2023/1/14, 12, 3, 
2023/1/15, 10, 2, 
2023/1/16, 6, 2, 
2023/1/17, 8, 5, 
2023/1/18, 15, 3, 
2023/1/19, 10, 4, 
2023/1/20, 16, 3, 
2023/1/21, 11, 3, 
2023/1/22, 12, 7, 
2023/1/23, 23, 8, 
2023/1/24, 23, 4, 
2023/1/25, 15, 3, 
2023/1/26, 7, 2, 
2023/1/27, 6, 4, 
2023/1/28, 10, 3, 
2023/1/29, 9, 2, 
2023/1/30, 6, 1, 
2023/1/31, 3, 4, 
2023/2/1, 10, 3, 
2023/2/2, 6, 5, 
2023/2/3, 6, , 
2023/2/7, 21, 4, 
2023/2/8, 10, 4, 
2023/2/9, 10, 4, 
2023/2/10, 13, 4, 
2023/2/11, 8, , 
2023/2/12, 22, , 
2023/2/16, 25, 11, 
2023/2/17, 30, 13, 
2023/2/18, 28, 1, 
2023/2/19, 2, , 
2023/2/23, 29, 3, 
2023/2/24, 12, , 
2023/2/28, 4, 3, 
2023/3/1, 6, 2, 
2023/3/2, 5, 19, 
2023/3/3, 20, 41, 
2023/3/4, 21, , 
2023/3/16, 10, 7, 
2023/3/17, 15, 15, 
2023/3/18, 22, , 
2023/3/20, 9, 4, 
2023/3/21, 9, 6, 
2023/3/22, 8, 5, 
2023/3/23, 12, 9, 
2023/3/24, 13, 6, 
2023/3/25, 18, 15, 
2023/3/26, 19, 66, 
2023/3/27, 41, 114, 
2023/3/28, 60, 79, 
2023/3/29, 45, 34, 
2023/3/30, 25, 37, 
2023/3/31, 33, 24, 
2023/4/1, 24, , 
2022/10/2, 27, 15, 
2022/10/3, 35, 12, 
2022/10/4, 25, 19, 
2022/10/5, 19, 13, 
2022/10/6, 15, 9, 
2022/10/7, 8, 12, 
2022/10/8, 18, 5, 
2022/10/9, 7, 8, 
2022/10/10, 7, 18, 
2022/10/11, 20, 7, 
2022/10/12, 10, 13, 
2022/10/13, 12, 18, 
2022/10/14, 21, 15, 
2022/10/15, 40, 17, 
2022/10/16, 33, 6, 
2022/10/17, 11, 14, 
2022/10/18, 15, 9, 
2022/10/19, 8, 14, 
2022/10/20, 12, 21, 
2022/10/21, 16, 27, 
2022/10/22, 27, 19, 
2022/10/23, 25, 13, 
2022/10/24, 16, 36, 
2022/10/25, 34, 5, 
2022/10/26, 14, 5, 
2022/10/27, 10, 5, 
2022/10/28, 11, 6, 
2022/10/29, 16, 9, 
2022/10/30, 12, 18, 
2022/10/31, 18, 29, 
2022/11/1, 29, 5, 
2022/11/2, 15, 11, 
2022/11/3, 32, 11, 
2022/11/4, 31, 37, 
2022/11/5, 47, 16, 
2022/11/6, 20, 8, 
2022/11/7, 21, 4, 
2022/11/8, 11, 12, 
2022/11/9, 14, 5, 
2022/11/10, 16, 8, 
2022/11/11, 23, 6, 
2022/11/12, 16, 21, 
2022/11/13, 18, 39, 
2022/11/14, 43, 37, 
2022/11/15, 36, 4, 
2022/11/16, 9, 29, 
2022/11/17, 23, 32, 
2022/11/18, 24, 4, 
2022/11/19, 11, 7, 
2022/11/20, 11, 6, 
2022/11/21, 9, 5, 
2022/11/22, 14, 7, 
2022/11/23, 22, 6, 
2022/11/24, 18, 7, 
2022/11/25, 22, 8, 
2022/11/26, 25, 9, 
2022/11/27, 33, 8, 
2022/11/28, 29, 12, 
2022/11/29, 38, 7, 
2022/11/30, 25, 7, 
2022/12/1, 27, 6, 
2022/12/2, 25, 6, 
2022/12/3, 21, 5, 
2022/12/4, 9, 15, 
2022/12/5, 16, 42, 
2022/12/6, 29, 4, 
2022/12/7, 9, 17, 
2022/12/8, 19, 6, 
2022/12/9, 12, 4, 
2022/12/10, 13, 4, 
2022/12/11, 15, 4, 
2022/12/12, 15, 4, 
2022/12/13, 13, 3, 
2022/12/14, 9, 5, 
2022/12/15, 15, 6, 
2022/12/16, 20, 6, 
2022/12/17, 18, 10, 
2022/12/18, 36, 9, 
2022/12/19, 35, 4, 
2022/12/20, 13, 10, 
2022/12/21, 38, 8, 
2022/12/22, 29, 4, 
2022/12/23, 15, 3, 
2022/12/24, 10, 2, 
2022/12/25, 8, 7, 
2022/12/26, 23, 3, 
2022/12/27, 11, 2, 
2022/12/28, 8, 5, 
2022/12/29, 14, 5, 
2022/12/30, 15, 4, 
2022/12/31, 13, 4, 
2023/1/1, 12, 3, 
2023/1/2, 9, 4, 
2022/7/2, 65, 18, 
2022/7/3, 43, 8, 
2022/7/4, 12, 13, 
2022/7/5, 22, 7, 
2022/7/6, 9, 6, 
2022/7/7, 6, 6, 
2022/7/8, 6, 6, 
2022/7/9, 7, 3, 
2022/7/10, 7, 5, 
2022/7/11, 8, 11, 
2022/7/12, 13, 11, 
2022/7/13, 13, 12, 
2022/7/14, 18, 5, 
2022/7/15, 6, 4, 
2022/7/16, 5, 4, 
2022/7/17, 5, 3, 
2022/7/18, 5, 7, 
2022/7/19, 9, 4, 
2022/7/20, 8, 11, 
2022/7/21, 19, 15, 
2022/7/22, 31, 4, 
2022/7/23, 7, 4, 
2022/7/24, 7, 6, 
2022/7/25, 13, 9, 
2022/7/26, 22, 7, 
2022/7/27, 18, 4, 
2022/7/28, 5, 3, 
2022/7/29, 4, 5, 
2022/7/30, 7, 6, 
2022/7/31, 10, 9, 
2022/8/1, 19, 12, 
2022/8/2, 27, 4, 
2022/8/3, 7, 6, 
2022/8/4, 10, 6, 
2022/8/5, 14, 8, 
2022/8/6, 16, 4, 
2022/8/7, 7, 4, 
2022/8/8, 11, 10, 
2022/8/9, 20, 11, 
2022/8/10, 22, 8, 
2022/8/11, 15, 7, 
2022/8/12, 11, 5, 
2022/8/13, 10, 8, 
2022/8/14, 16, 9, 
2022/8/15, 22, 15, 
2022/8/16, 30, , 
2022/8/18, 35, 8, 
2022/8/19, 11, 14, 
2022/8/20, 32, , 
2022/8/23, 12, 11, 
2022/8/24, 19, 13, 
2022/8/25, 28, 12, 
2022/8/26, 21, 10, 
2022/8/27, 18, 11, 
2022/8/28, 28, 4, 
2022/8/29, 7, 4, 
2022/8/30, 5, 6, 
2022/8/31, 7, 5, 
2022/9/1, 7, 6, 
2022/9/2, 7, 7, 
2022/9/3, 9, 5, 
2022/9/4, 9, 5, 
2022/9/5, 8, 8, 
2022/9/6, 12, 7, 
2022/9/7, 11, 8, 
2022/9/8, 11, 8, 
2022/9/9, 9, 10, 
2022/9/10, 17, 10, 
2022/9/11, 20, 9, 
2022/9/12, 18, 13, 
2022/9/13, 23, 8, 
2022/9/14, 18, 6, 
2022/9/15, 13, 3, 
2022/9/16, 8, 4, 
2022/9/17, 7, 3, 
2022/9/18, 8, 3, 
2022/9/19, 5, 5, 
2022/9/20, 8, , 
2022/9/24, 24, 7, 
2022/9/25, 21, , 
2022/9/27, 22, 9, 
2022/9/28, 30, 13, 
2022/9/29, 21, 5, 
2022/9/30, 15, 15, 
2022/10/1, 23, 10, 
2022/4/2, 29, 24, 
2022/4/3, 19, 9, 
2022/4/4, 8, 24, 
2022/4/5, 16, 30, 
2022/4/6, 21, 36, 
2022/4/7, 24, 15, 
2022/4/8, 23, 6, 
2022/4/9, 10, 3, 
2022/4/10, 9, 2, 
2022/4/11, 6, 35, 
2022/4/12, 22, 38, 
2022/4/13, 23, 45, 
2022/4/14, 38, 31, 
2022/4/15, 25, 40, 
2022/4/16, 29, 47, 
2022/4/17, 31, 16, 
2022/4/18, 18, 21, 
2022/4/19, 29, 72, 
2022/4/20, 40, 42, 
2022/4/21, 45, 38, 
2022/4/22, 34, 48, 
2022/4/23, 39, 26, 
2022/4/24, 22, 23, 
2022/4/25, 19, 35, 
2022/4/26, 26, 21, 
2022/4/27, 15, 26, 
2022/4/28, 19, 22, 
2022/4/29, 16, 16, 
2022/4/30, 17, 14, 
2022/5/1, 14, 11, 
2022/5/2, 12, 26, 
2022/5/3, 19, 9, 
2022/5/4, 10, 13, 
2022/5/5, 13, 16, 
2022/5/6, 18, 19, 
2022/5/7, 20, 9, 
2022/5/8, 12, 6, 
2022/5/9, 10, 22, 
2022/5/10, 21, 20, 
2022/5/11, 24, 14, 
2022/5/12, 14, 9, 
2022/5/13, 9, 16, 
2022/5/14, 13, 10, 
2022/5/15, 10, 6, 
2022/5/16, 7, 8, 
2022/5/17, 10, 17, 
2022/5/18, 17, 21, 
2022/5/19, 23, 23, 
2022/5/20, 22, 24, 
2022/5/21, 25, 12, 
2022/5/22, 23, , 
2022/5/24, 40, 29, 
2022/5/25, 37, 14, 
2022/5/26, 37, 16, 
2022/5/27, 36, 13, 
2022/5/28, 29, 7, 
2022/5/29, 12, 9, 
2022/5/30, 9, 22, 
2022/5/31, 33, 17, 
2022/6/1, 41, 16, 
2022/6/2, 28, 21, 
2022/6/3, 31, 19, 
2022/6/4, 27, 11, 
2022/6/5, 20, 7, 
2022/6/6, 13, 16, 
2022/6/7, 16, 21, 
2022/6/8, 22, 17, 
2022/6/9, 26, 26, 
2022/6/10, 51, 20, 
2022/6/11, 40, 14, 
2022/6/12, 33, 11, 
2022/6/13, 18, 11, 
2022/6/14, 13, 8, 
2022/6/15, 8, 8, 
2022/6/16, 8, 7, 
2022/6/17, 8, 12, 
2022/6/18, 11, 7, 
2022/6/19, 14, 6, 
2022/6/20, 11, 12, 
2022/6/21, 20, 13, 
2022/6/22, 22, 11, 
2022/6/23, 12, 10, 
2022/6/24, 17, 11, 
2022/6/25, 25, 16, 
2022/6/26, 43, 25, 
2022/6/27, 57, 28, 
2022/6/28, 63, 33, 
2022/6/29, 68, 27, 
2022/6/30, 68, 32, 
2022/7/1, 68, 26, 
2022/1/4, 22, 1, 
2022/1/5, 4, 3, 
2022/1/6, 6, 2, 
2022/1/7, 7, 3, 
2022/1/8, 10, 3, 
2022/1/9, 12, 5, 
2022/1/10, 20, 6, 
2022/1/11, 22, 6, 
2022/1/12, 25, 3, 
2022/1/13, 10, 2, 
2022/1/14, 3, 3, 
2022/1/15, 6, 3, 
2022/1/16, 8, 4, 
2022/1/17, 7, 7, 
2022/1/18, 8, 6, 
2022/1/19, 13, 4, 
2022/1/20, 5, 29, 
2022/1/21, 18, 25, 
2022/1/22, 20, 9, 
2022/1/23, 18, 4, 
2022/1/24, 14, 3, 
2022/1/25, 9, 4, 
2022/1/26, 11, 4, 
2022/1/27, 13, 6, 
2022/1/28, 17, 4, 
2022/1/29, 9, 7, 
2022/1/30, 17, 2, 
2022/1/31, 3, 3, 
2022/2/1, 9, 5, 
2022/2/2, 16, 5, 
2022/2/3, 18, 7, 
2022/2/4, 23, 6, 
2022/2/5, 16, 4, 
2022/2/6, 14, 5, 
2022/2/7, 18, 3, 
2022/2/8, 9, 9, 
2022/2/9, 25, 5, 
2022/2/10, 9, 2, 
2022/2/11, 6, 2, 
2022/2/12, 6, 5, 
2022/2/13, 12, 3, 
2022/2/14, 7, 4, 
2022/2/15, 10, 3, 
2022/2/16, 10, 3, 
2022/2/17, 9, 2, 
2022/2/18, 6, 3, 
2022/2/19, 10, 3, 
2022/2/20, 13, 6, 
2022/2/21, 19, 6, 
2022/2/22, 19, 4, 
2022/2/23, 13, 7, 
2022/2/24, 18, 3, 
2022/2/25, 8, 4, 
2022/2/26, 11, 9, 
2022/2/27, 22, 7, 
2022/2/28, 18, 8, 
2022/3/1, 19, 7, 
2022/3/2, 25, 2, 
2022/3/3, 5, 4, 
2022/3/4, 9, 14, 
2022/3/5, 20, 9, 
2022/3/6, 13, 5, 
2022/3/7, 8, 4, 
2022/3/8, 10, 6, 
2022/3/9, 17, 5, 
2022/3/10, 14, 9, 
2022/3/11, 23, 21, 
2022/3/12, 48, 61, 
2022/3/13, 55, 117, 
2022/3/14, 72, 101, 
2022/3/15, 68, 87, 
2022/3/16, 75, 52, 
2022/3/17, 95, 42, 
2022/3/18, 91, 21, 
2022/3/19, 41, 38, 
2022/3/20, 30, 43, 
2022/3/21, 34, 75, 
2022/3/22, 48, 57, 
2022/3/23, 56, 42, 
2022/3/24, 52, 61, 
2022/3/25, 53, 35, 
2022/3/26, 30, 64, 
2022/3/27, 44, 19, 
2022/3/28, 20, 11, 
2022/3/29, 11, 36, 
2022/3/30, 24, 35, 
2022/3/31, 23, 31, 
2022/4/1, 25, 38, 
2021/10/2, 26, 11, 
2021/10/3, 33, 17, 
2021/10/4, 56, 13, 
2021/10/5, 28, 14, 
2021/10/6, 26, 13, 
2021/10/7, 41, 8, 
2021/10/8, 10, 15, 
2021/10/9, 31, 13, 
2021/10/10, 30, 8, 
2021/10/11, 18, 7, 
2021/10/12, 9, 7, 
2021/10/13, 8, 8, 
2021/10/14, 11, 6, 
2021/10/15, 11, 4, 
2021/10/16, 10, 4, 
2021/10/17, 7, 4, 
2021/10/18, 6, 9, 
2021/10/19, 11, 12, 
2021/10/20, 14, 4, 
2021/10/21, 10, 6, 
2021/10/22, 13, 7, 
2021/10/23, 8, 15, 
2021/10/24, 20, 30, 
2021/10/25, 34, 20, 
2021/10/26, 30, 12, 
2021/10/27, 19, 8, 
2021/10/28, 16, 9, 
2021/10/29, 24, 13, 
2021/10/30, 27, 13, 
2021/10/31, 44, 12, 
2021/11/1, 40, 16, 
2021/11/2, 42, 30, 
2021/11/3, 79, 22, 
2021/11/4, 62, 4, 
2021/11/5, 12, 10, 
2021/11/6, 17, 23, 
2021/11/7, 19, 8, 
2021/11/8, 10, 18, 
2021/11/9, 18, 7, 
2021/11/10, 12, 4, 
2021/11/11, 11, 4, 
2021/11/12, 9, 2, 
2021/11/13, 5, 7, 
2021/11/14, 17, 5, 
2021/11/15, 16, 3, 
2021/11/16, 6, 11, 
2021/11/17, 30, 11, 
2021/11/18, 24, 7, 
2021/11/19, 19, 5, 
2021/11/20, 12, 3, 
2021/11/21, 6, 12, 
2021/11/22, 10, 8, 
2021/11/23, 11, 3, 
2021/11/24, 6, 7, 
2021/11/25, 18, 4, 
2021/11/26, 9, 31, 
2021/11/27, 33, 18, 
2021/11/28, 25, 7, 
2021/11/29, 12, 7, 
2021/11/30, 16, 15, 
2021/12/1, 16, 32, 
2021/12/2, 29, 10, 
2021/12/3, 13, 5, 
2021/12/4, 18, 6, 
2021/12/5, 20, 4, 
2021/12/6, 13, 5, 
2021/12/7, 15, 6, 
2021/12/8, 20, 8, 
2021/12/9, 29, 8, 
2021/12/10, 25, 13, 
2021/12/11, 36, 11, 
2021/12/12, 35, 6, 
2021/12/13, 24, 9, 
2021/12/14, 33, 6, 
2021/12/15, 22, 4, 
2021/12/16, 14, 2, 
2021/12/17, 6, 6, 
2021/12/18, 16, 2, 
2021/12/19, 6, 2, 
2021/12/20, 5, 7, 
2021/12/21, 10, 29, 
2021/12/22, 25, 13, 
2021/12/23, 26, 3, 
2021/12/24, 5, 3, 
2021/12/25, 4, 3, 
2021/12/26, 8, 6, 
2021/12/27, 18, 8, 
2021/12/28, 26, 13, 
2021/12/29, 33, 8, 
2021/12/30, 32, 10, 
2021/12/31, 35, 4, 
2022/1/1, 16, 4, 
2022/1/2, 16, 14, 
2022/1/3, 38, 6, 
2021/7/2, 16, 16, 
2021/7/3, 21, 14, 
2021/7/4, 28, 16, 
2021/7/5, 37, 21, 
2021/7/6, 36, 25, 
2021/7/7, 50, 19, 
2021/7/8, 43, 11, 
2021/7/9, 22, 16, 
2021/7/10, 32, 15, 
2021/7/11, 36, 13, 
2021/7/12, 37, 10, 
2021/7/13, 17, 15, 
2021/7/14, 34, 23, 
2021/7/15, 46, 13, 
2021/7/16, 32, 12, 
2021/7/17, 24, 12, 
2021/7/18, 35, 10, 
2021/7/19, 14, 14, 
2021/7/20, 21, 15, 
2021/7/21, 15, 43, 
2021/7/22, 18, 21, 
2021/7/23, 21, 10, 
2021/7/24, 10, 11, 
2021/7/25, 29, 13, 
2021/7/26, 35, 20, 
2021/7/27, 42, 63, 
2021/7/28, 50, 27, 
2021/7/29, 56, 24, 
2021/7/30, 53, 8, 
2021/7/31, 19, 8, 
2021/8/1, 21, 5, 
2021/8/2, 11, 4, 
2021/8/3, 5, 7, 
2021/8/4, 8, 5, 
2021/8/5, 7, 10, 
2021/8/6, 18, 14, 
2021/8/7, 28, 13, 
2021/8/8, 19, 6, 
2021/8/9, 15, 16, 
2021/8/10, 33, 13, 
2021/8/11, 25, 13, 
2021/8/12, 27, 21, 
2021/8/13, 29, 18, 
2021/8/14, 30, 11, 
2021/8/15, 26, 8, 
2021/8/16, 16, 17, 
2021/8/17, 20, 4, 
2021/8/18, 9, 6, 
2021/8/19, 10, 5, 
2021/8/20, 7, 4, 
2021/8/21, 6, 3, 
2021/8/22, 6, 3, 
2021/8/23, 6, 7, 
2021/8/24, 14, 9, 
2021/8/25, 14, 8, 
2021/8/26, 7, 3, 
2021/8/27, 7, 13, 
2021/8/28, 18, 13, 
2021/8/29, 22, 11, 
2021/8/30, 22, 12, 
2021/8/31, 18, 7, 
2021/9/1, 13, 7, 
2021/9/2, 13, 6, 
2021/9/3, 13, 4, 
2021/9/4, 7, 4, 
2021/9/5, 8, 5, 
2021/9/6, 10, 9, 
2021/9/7, 16, 15, 
2021/9/8, 26, 9, 
2021/9/9, 13, 7, 
2021/9/10, 12, 8, 
2021/9/11, 15, 5, 
2021/9/12, 16, 5, 
2021/9/13, 16, 5, 
2021/9/14, 8, 7, 
2021/9/15, 10, 11, 
2021/9/16, 12, 15, 
2021/9/17, 19, 13, 
2021/9/18, 25, 8, 
2021/9/19, 20, 10, 
2021/9/20, 23, 15, 
2021/9/21, 23, 12, 
2021/9/22, 19, 13, 
2021/9/23, 18, 5, 
2021/9/24, 13, 6, 
2021/9/25, 8, 6, 
2021/9/26, 11, 10, 
2021/9/27, 13, 19, 
2021/9/28, 21, 9, 
2021/9/29, 20, 22, 
2021/9/30, 45, 24, 
2021/10/1, 52, 9, 
2021/4/2, 19, 18, 
2021/4/3, 14, 8, 
2021/4/4, 9, 37, 
2021/4/5, 27, 24, 
2021/4/6, 16, 3, 
2021/4/7, 4, 18, 
2021/4/8, 16, 33, 
2021/4/9, 22, 11, 
2021/4/10, 10, 30, 
2021/4/11, 18, 48, 
2021/4/12, 31, 6, 
2021/4/13, 8, 6, 
2021/4/14, 4, 29, 
2021/4/15, 20, 27, 
2021/4/16, 24, 28, 
2021/4/17, 21, 24, 
2021/4/18, 25, 22, 
2021/4/19, 26, 32, 
2021/4/20, 32, 44, 
2021/4/21, 44, 39, 
2021/4/22, 35, 19, 
2021/4/23, 14, 21, 
2021/4/24, 14, 10, 
2021/4/25, 8, 9, 
2021/4/26, 8, 23, 
2021/4/27, 19, 18, 
2021/4/28, 17, 20, 
2021/4/29, 17, 36, 
2021/4/30, 24, 31, 
2021/5/1, 21, 24, 
2021/5/2, 20, 20, 
2021/5/3, 18, 31, 
2021/5/4, 29, 41, 
2021/5/5, 33, 46, 
2021/5/6, 34, 12, 
2021/5/7, 19, 21, 
2021/5/8, 22, 18, 
2021/5/9, 18, 14, 
2021/5/10, 20, 20, 
2021/5/11, 40, 22, 
2021/5/12, 38, 38, 
2021/5/13, 49, 38, 
2021/5/14, 56, 33, 
2021/5/15, 51, 8, 
2021/5/16, 27, 7, 
2021/5/17, 25, 5, 
2021/5/18, 17, 36, 
2021/5/19, 45, 33, 
2021/5/20, 30, 27, 
2021/5/21, 17, 31, 
2021/5/22, 22, 23, 
2021/5/23, 18, 17, 
2021/5/24, 13, 35, 
2021/5/25, 25, 33, 
2021/5/26, 31, 33, 
2021/5/27, 27, 21, 
2021/5/28, 21, 29, 
2021/5/29, 27, 22, 
2021/5/30, 31, 26, 
2021/5/31, 40, 36, 
2021/6/1, 27, 29, 
2021/6/2, 26, 35, 
2021/6/3, 34, 29, 
2021/6/4, 35, 30, 
2021/6/5, 41, 30, 
2021/6/6, 50, 24, 
2021/6/7, 53, 26, 
2021/6/8, 53, 31, 
2021/6/9, 53, 35, 
2021/6/10, 50, 42, 
2021/6/11, 59, 37, 
2021/6/12, 54, 9, 
2021/6/13, 14, 9, 
2021/6/14, 8, 17, 
2021/6/15, 21, 13, 
2021/6/16, 10, 24, 
2021/6/17, 19, 27, 
2021/6/18, 28, 31, 
2021/6/19, 43, 6, 
2021/6/20, 13, 18, 
2021/6/21, 24, 25, 
2021/6/22, 35, 15, 
2021/6/23, 21, 26, 
2021/6/24, 27, 18, 
2021/6/25, 32, , 
2021/6/29, 29, 23, 
2021/6/30, 44, 11, 
2021/7/1, 13, 18, 
2021/1/5, 16, 10, 
2021/1/6, 14, 10, 
2021/1/7, 14, 4, 
2021/1/8, 15, 5, 
2021/1/9, 20, 4, 
2021/1/10, 17, 4, 
2021/1/11, 15, 4, 
2021/1/12, 10, 2, 
2021/1/13, 8, 3, 
2021/1/14, 10, 3, 
2021/1/15, 11, 3, 
2021/1/16, 11, 2, 
2021/1/17, 10, 5, 
2021/1/18, 22, 5, 
2021/1/19, 15, 4, 
2021/1/20, 12, 7, 
2021/1/21, 23, 4, 
2021/1/22, 16, 5, 
2021/1/23, 19, , 
2021/1/25, 26, 2, 
2021/1/26, 6, 2, 
2021/1/27, 6, 3, 
2021/1/28, 10, 5, 
2021/1/29, 15, 4, 
2021/1/30, 17, , 
2021/2/2, 15, 5, 
2021/2/3, 18, 6, 
2021/2/4, 18, 4, 
2021/2/5, 12, 4, 
2021/2/6, 15, 2, 
2021/2/7, 7, 2, 
2021/2/8, 5, 2, 
2021/2/9, 7, 3, 
2021/2/10, 7, 4, 
2021/2/11, 9, 3, 
2021/2/12, 6, 3, 
2021/2/13, 8, 2, 
2021/2/14, 6, 2, 
2021/2/15, 8, 4, 
2021/2/16, 12, 5, 
2021/2/17, 12, 4, 
2021/2/18, 9, 6, 
2021/2/19, 19, 14, 
2021/2/20, 43, 9, 
2021/2/21, 34, 8, 
2021/2/22, 34, 13, 
2021/2/23, 39, 7, 
2021/2/24, 23, 6, 
2021/2/25, 17, 4, 
2021/2/26, 12, 1, 
2021/2/27, 3, 2, 
2021/2/28, 5, 1, 
2021/3/1, 4, 3, 
2021/3/2, 8, 6, 
2021/3/3, 13, 10, 
2021/3/4, 9, 54, 
2021/3/5, 34, 41, 
2021/3/6, 25, 10, 
2021/3/7, 8, 28, 
2021/3/8, 18, 35, 
2021/3/9, 25, 10, 
2021/3/10, 16, 17, 
2021/3/11, 24, 22, 
2021/3/12, 43, 9, 
2021/3/13, 34, 11, 
2021/3/14, 45, 11, 
2021/3/15, 42, 4, 
2021/3/16, 14, 5, 
2021/3/17, 8, 19, 
2021/3/18, 15, 22, 
2021/3/19, 17, 47, 
2021/3/20, 34, 4, 
2021/3/21, 6, 26, 
2021/3/22, 15, 5, 
2021/3/23, 5, 29, 
2021/3/24, 19, 38, 
2021/3/25, 24, 43, 
2021/3/26, 31, 37, 
2021/3/27, 30, 32, 
2021/3/28, 56, 22, 
2021/3/29, 60, 6, 
2021/3/30, 11, 40, 
2021/3/31, 29, 35, 
2021/4/1, 23, 32, 
2020/10/7, 22, 8, 8
2020/10/8, 19, 12, 8
2020/10/9, 24, 7, 10
2020/10/10, 15, 11, 11
2020/10/11, 16, 5, 7
2020/10/12, 10, 2, 5
2020/10/13, 3, 6, 4
2020/10/14, 7, 10, 6
2020/10/15, 11, 6, 6
2020/10/16, 8, 7, 5
2020/10/17, 9, 4, 8
2020/10/18, 6, 3, 5
2020/10/19, 4, 5, 3
2020/10/20, 7, 12, 3
2020/10/21, 15, 5, 11
2020/10/22, 16, 2, 14
2020/10/23, 5, 5, 7
2020/10/24, 8, 11, 8
2020/10/25, 17, 5, 8
2020/10/26, 15, 7, 5
2020/10/27, 15, 18, 15
2020/10/28, 25, 19, 12
2020/10/29, 28, 18, 13
2020/10/30, 20, 49, 12
2020/10/31, 37, 10, 9
2020/11/1, 18, 4, 9
2020/11/2, 13, 3, 3
2020/11/3, 9, 7, 5
2020/11/4, 11, 27, 11
2020/11/5, 22, 16, 9
2020/11/6, 19, 28, 5
2020/11/7, 22, 28, 11
2020/11/8, 25, 26, 8
2020/11/9, 28, 19, 7
2020/11/10, 20, 27, 10
2020/11/11, 32, 20, 5
2020/11/12, 21, 9, 
2020/11/13, 22, 24, 
2020/11/14, 50, 7, 
2020/11/15, 27, 6, 
2020/11/16, 19, 14, 
2020/11/17, 47, 19, 
2020/11/18, 18, 5, 
2020/11/19, 10, 8, 
2020/11/20, 6, 20, 
2020/11/21, 17, 5, 
2020/11/22, 9, 2, 
2020/11/23, 4, 25, 
2020/11/24, 17, 10, 
2020/11/25, 19, 8, 
2020/11/26, 23, 2, 
2020/11/27, 5, 4, 
2020/11/28, 11, 4, 
2020/11/29, 15, 3, 
2020/11/30, 10, 4, 
2020/12/1, 13, 2, 
2020/12/2, 8, 8, 
2020/12/3, 22, 11, 
2020/12/4, 42, 5, 
2020/12/5, 17, 8, 
2020/12/6, 29, 9, 
2020/12/7, 35, 9, 
2020/12/8, 30, 13, 
2020/12/9, 35, 14, 
2020/12/10, 37, 22, 
2020/12/11, 38, 16, 
2020/12/12, 34, 10, 
2020/12/13, 40, 6, 
2020/12/14, 27, 7, 
2020/12/15, 26, 5, 
2020/12/16, 16, 4, 
2020/12/17, 12, 4, 
2020/12/18, 12, 2, 
2020/12/19, 7, 7, 
2020/12/20, 24, 4, 
2020/12/21, 14, 7, 
2020/12/22, 23, 7, 
2020/12/23, 16, 2, 
2020/12/24, 6, 1, 
2020/12/25, 3, 10, 
2020/12/26, 9, 15, 
2020/12/27, 16, 3, 
2020/12/28, 11, , 
2021/1/1, 10, 7, 
2021/1/2, 25, 3, 
2021/1/3, 11, 2, 
2021/1/4, 4, 9, 
2020/7/2, 9, 11, 5
2020/7/3, 11, 7, 4
2020/7/4, 8, 8, 4
2020/7/5, 21, 6, 3
2020/7/6, 8, 6, 4
2020/7/7, 8, 6, 2
2020/7/8, 12, 5, 2
2020/7/9, 7, 8, 3
2020/7/10, 11, 6, 4
2020/7/11, 7, 7, 3
2020/7/12, 11, 5, 2
2020/7/13, 7, 5, 2
2020/7/14, 7, 11, 4
2020/7/15, 12, 13, 7
2020/7/16, 19, 21, 7
2020/7/17, 29, 11, 4
2020/7/18, 22, 8, 3
2020/7/19, 14, 10, 4
2020/7/20, 18, 14, 7
2020/7/21, 35, 4, 1
2020/7/22, 7, 5, 1
2020/7/23, 6, 6, 1
2020/7/24, 6, 4, 3
2020/7/25, 7, 6, 3
2020/7/26, 9, 10, 3
2020/7/27, 17, 15, 5
2020/7/28, 25, 21, 6
2020/7/29, 34, 7, 6
2020/7/30, 16, 6, 3
2020/7/31, 14, 12, 5
