date, pm25, pm10, no2
2025/6/6, 25, 11, 1
2025/6/7, 21, 7, 1
2025/6/8, 13, , 
2025/6/10, 17, 6, 1
2025/6/11, 7, 12, 2
2025/6/12, 14, 5, 
2025/6/13, 7, 16, 2
2025/6/14, 18, 16, 2
2025/6/15, 26, 17, 1
2025/6/16, 39, 8, 2
2025/6/17, 24, 9, 2
2025/6/18, 15, 6, 
2025/6/19, 9, 5, 
2025/6/20, 9, 5, 
2025/6/21, 8, 4, 
2025/6/22, 7, 6, 
2025/6/23, 12, 8, 2
2025/6/24, 19, 3, 1
2025/6/25, 9, 8, 1
2025/6/26, 13, 11, 1
2025/6/27, 22, 11, 2
2025/6/28, 24, 7, 1
2025/6/29, 13, 5, 
2025/6/30, 9, 4, 
2025/7/1, 6, 11, 2
2025/1/2, 16, 3, 4
2025/1/3, 8, 3, 2
2025/1/4, 8, 3, 3
2025/1/5, 9, 3, 2
2025/1/6, 11, 4, 2
2025/1/7, 17, 4, 2
2025/1/8, 12, 7, 7
2025/1/9, 18, 7, 2
2025/1/10, 28, 5, 5
2025/1/11, 19, 3, 3
2025/1/12, 11, 2, 2
2025/1/13, 7, 2, 5
2025/1/14, 5, 3, 3
2025/1/15, 8, 7, 10
2025/1/16, 13, 3, 6
2025/1/17, 9, 4, 4
2025/1/18, 9, 10, 3
2025/1/19, 24, 4, 2
2025/1/20, 12, 6, 5
2025/1/21, 9, 6, 3
2025/1/22, 12, 3, 5
2025/1/23, 10, 4, 6
2025/1/24, 15, 6, 4
2025/1/25, 20, 8, 2
2025/1/26, 23, 6, 5
2025/1/27, 19, 6, 8
2025/1/28, 18, 7, 8
2025/1/29, 17, 3, 4
2025/1/30, 9, 2, 3
2025/1/31, 6, 2, 4
2025/2/1, 7, 2, 2
2025/2/2, 6, 2, 1
2025/2/3, 8, 5, 5
2025/2/4, 14, 6, 4
2025/2/5, 22, 7, 5
2025/2/6, 22, 6, 7
2025/2/7, 15, 5, 7
2025/2/8, 17, 10, 6
2025/2/9, 40, 8, 3
2025/2/10, 31, 3, 4
2025/2/11, 12, 4, 4
2025/2/12, 15, 3, 5
2025/2/13, 11, 5, 4
2025/2/14, 12, 4, 4
2025/2/15, 12, 5, 1
2025/2/16, 14, 3, 1
2025/2/17, 7, 3, 4
2025/2/18, 8, 3, 3
2025/2/19, 8, 6, 7
2025/2/20, 12, 28, 8
2025/2/21, 28, 8, 7
2025/2/22, 20, 19, 4
2025/2/23, 50, 16, 5
2025/2/24, 48, 12, 6
2025/2/25, 33, , 
2025/2/26, 15, 8, 5
2025/2/27, 17, , 
2025/2/28, 14, 8, 7
2025/3/1, 16, 6, 5
2025/3/2, 17, , 
2025/3/5, 21, 5, 4
2025/3/6, 9, 10, 4
2025/3/7, 14, 31, 5
2025/3/8, 36, 29, 1
2025/3/9, 21, , 4
2025/3/14, 61, 42, 3
2025/3/15, 30, 22, 1
2025/3/16, 13, 23, 
2025/3/17, 17, 8, 2
2025/3/18, 9, 5, 1
2025/3/19, 4, 12, 3
2025/3/20, 10, 21, 4
2025/3/21, 18, 26, 5
2025/3/22, 19, 23, 4
2025/3/23, 25, 21, 2
2025/3/24, 30, 42, 3
2025/3/25, 43, 39, 2
2025/3/26, 32, 44, 4
2025/3/27, 29, 31, 5
2025/3/28, 26, 26, 3
2025/3/29, 21, 17, 1
2025/3/30, 17, 24, 2
2025/3/31, 27, 25, 2
2025/4/1, 23, 34, 2
2024/10/2, 17, 13, 3
2024/10/3, 19, 10, 4
2024/10/4, 13, 11, 3
2024/10/5, 17, 9, 4
2024/10/6, 17, 5, 1
2024/10/7, 10, 3, 2
2024/10/8, 6, 7, 5
2024/10/9, 22, 5, 3
2024/10/10, 12, 4, 6
2024/10/11, 10, 9, 2
2024/10/12, 13, 10, 3
2024/10/13, 17, 8, 3
2024/10/14, 21, 6, 2
2024/10/15, 20, 24, 1
2024/10/16, 20, 27, 4
2024/10/17, 27, 21, 4
2024/10/18, 30, 16, 4
2024/10/19, 31, 23, 2
2024/10/20, 40, 11, 1
2024/10/21, 30, 10, 
2024/10/22, 27, 20, 3
2024/10/23, 21, 9, 1
2024/10/24, 9, 27, 4
2024/10/25, 27, 26, 3
2024/10/26, 31, 28, 4
2024/10/27, 34, 8, 2
2024/10/28, 21, 8, 2
2024/10/29, 8, 25, 2
2024/10/30, 20, 16, 1
2024/10/31, 13, 12, 4
2024/11/1, 16, 4, 1
2024/11/2, 9, 11, 
2024/11/3, 14, 6, 1
2024/11/4, 9, 4, 5
2024/11/5, 8, 4, 1
2024/11/6, 6, 3, 2
2024/11/7, 6, 3, 2
